description,iSIC_code,naf_code
"Crop and animal production, hunting and related service activities",01,01
Growing of non-perennial crops,011,01.1
"Growing of cereals (except rice), leguminous crops and oil seeds",0111,01.11
Growing of rice,0112,01.12
"Growing of vegetables and melons, roots and tubers",0113,01.13
Growing of sugar cane,0114,01.14
Growing of tobacco,0115,01.15
Growing of fibre crops,0116,01.16
Growing of other non-perennial crops,0119,01.19
Growing of perennial crops,012,01.2
Growing of grapes,0121,01.21
Growing of tropical and subtropical fruits,0122,01.22
Growing of citrus fruits,0123,01.23
Growing of pome fruits and stone fruits,0124,01.24
Growing of other tree and bush fruits and nuts,0125,01.25
Growing of oleaginous fruits,0126,01.26
Growing of beverage crops,0127,01.27
"Growing of spices, aromatic, drug and pharmaceutical crops",0128,01.28
Growing of other perennial crops,0129,01.29
Plant propagation,013,01.3
Plant propagation,0130,01.30
Animal production,014,01.4
Raising of cattle and buffaloes,0141,01.41
Raising of horses and other equines,0142,01.43
Raising of camels and camelids,0143,01.44
Raising of sheep and goats,0144,01.45
Raising of swine/pigs,0145,01.46
Raising of poultry,0146,01.47
Raising of other animals,0149,01.49
Mixed farming,015,01.5
Mixed farming,0150,01.50
Support activities to agriculture and post-harvest crop activities,016,01.6b
Support activities for crop production,0161,01.61
Support activities for animal production,0162,01.62
Post-harvest crop activities,0163,01.63
Seed processing for propagation,0164,01.64
"Hunting, trapping and related service activities",017,01.7
"Hunting, trapping and related service activities",0170,01.70
Forestry and logging,02,02
Silviculture and other forestry activities,021,02.1
Silviculture and other forestry activities,0210,02.10
Logging,022,02.2
Logging,0220,02.20
Gathering of non-wood forest products,023,02.3
Gathering of non-wood forest products,0230,02.30
Support services to forestry,024,02.4
Support services to forestry,0240,02.40
Fishing and aquaculture,03,03
Fishing,031,03.1
Marine fishing,0311,03.11
Freshwater fishing,0312,03.12
Aquaculture,032,03.2
Marine aquaculture,0321,03.21
Freshwater aquaculture,0322,03.22
Mining of coal and lignite,05,05
Mining of hard coal,051,05.1
Mining of hard coal,0510,05.10
